TAIR ID	UniProt Accession
AT1G71865	A0A178WLX1; Q8GW89
AT1G09267	-
AT1G71866	A0A1P8AU73; C4B8C5
AT1G71870	A0A178WK04; Q9LE20
AT1G09273	-
AT1G71880	A0A178W2N3; Q39232
AT1G71890	Q9C8X2; Q9FNY9
AT1G71900	Q94AH3; Q9C8X1; A0A178WK96; A0A1P8AR95
AT1G71910	Q9C8X0
AT1G71920	Q9LD56; B9DHD3; F4IBL7; Q6S4D6; P0DI07; Q6S4C1; A0A178UPE6; Q949X3; A8MRI5
AT1G09277	-
AT1G09283	-
AT1G71930	A0A178WQ46; Q9C8W9
AT1G71940	Q9C8W8; F4IBM1; A0A178WAG5
AT1G71950	Q9C8W7
AT1G09287	-
AT1G71960	Q9C8W6; Q84TH5; Q949Y4
AT1G09293	-
AT1G71970	Q9C8W5; A0A178WGE0
AT1G71980	Q9M621; A0A178W9F2; Q8VZ14; Q9C8W4
AT1G71990	Q9C8W3; Q8RYC1; Q0V7Y9
AT1G72000	Q9C560
AT1G72010	A0A178W3Z1; Q9C7G4
AT1G72020	Q9C7G5
AT1G72030	Q9C7G6
AT1G72040	Q501D4
AT1G72050	Q84MZ4; Q9C7G8; A0A1P8AV27; Q940P2; A0A1P8AV34; A0A178WFL7
AT1G72060	Q9C7G9
AT1G72070	F4IBN6; A0A1P8AWR2
AT1G09297	-
AT1G72080	Q1PFE3
AT1G09303	-
AT1G72090	A0A178W755; Q9C7H2
AT1G72100	Q9C7H3
AT1G72110	F4IBP0; Q9C7H4
AT1G72120	Q8VZE2; Q9C7H5
AT1G72125	Q0WSZ6; Q9C7H5
AT1G72130	Q9C7H6; Q8GYF0; Q8RX67; Q9C7U2; Q3E7P6; A0A178WGG7
AT1G72140	Q681S0; Q0WL93; Q9C7U1
AT1G72141	B3H534
AT1G72150	Q9C7U0; Q56WK6
AT1G72160	Q94AG3; Q9C7T9; Q56Z59
AT1G72170	A0A178W4U8; Q8GWC7
AT1G72175	A0A178W9L9; A0A1P8AWL5; Q93WJ5
AT1G72180	Q0WPH6; Q9C7T7
AT1G72190	F4IBQ3
AT1G72200	Q84W40; Q9C7T5; Q0V7Y3
AT1G72210	Q9C7T4; A0A1P8ANA4
AT1G72220	A0A178WDF0; Q9C7T3; Q8LFY8
AT1G72230	Q9C7T2; A0A178W4J6
AT1G72240	Q9C7T1
AT1G72250	F4IBQ9; A0A1P8AN53; A0A1P8AN70; Q9C7T0
AT1G72260	Q8LCH6; Q42596; Q9C7S9
AT1G72270	F4IBR2
AT1G72275	-
AT1G72280	Q0WSW0; Q9C7S7
AT1G72290	Q9C7S6
AT1G72300	C0LGI8; Q9C7S5
AT1G72310	Q9XF63; Q0WT62
AT1G72320	Q9C552; Q3ECD8; Q3E7J5
AT1G72330	Q9LDV4; F4IDA4; Q94C83; Q9C7S4; F4IDA2
AT1G72340	A0A1P8AVQ1; Q8W4G0; A0A1P8AVS2
AT1G72350	A0A178WJB6; Q9C9D4
AT1G72360	B3H5K8; A0A178W8F1; Q8H0T5; Q9C9D5; F4IDA7
AT1G72370	Q93V81; Q08682; B9DG17; A0A178WNA1
AT1G72390	F4IDB2
AT1G72410	F4IDB4; F4IDB3
AT1G72416	B3H5E7; F4IDB9; A0A178WL21; A0A178WMS2; Q1G3W9; B3H5X6; B3H676
AT1G72420	A0A1P8APK0; Q9C9E0; A0A1P8APH2; F4IDC0
AT1G72430	Q9C9E1; A0A178WLB5
AT1G72440	F4IDC2
AT1G72450	A0A1P8ARP3; A0A178W2J3; Q9C9E3
AT1G09307	-
AT1G72460	Q9C9E4
AT1G72470	Q9C9E5
AT1G72480	Q9C9E6
AT1G72490	A0A1P8ATW2; Q5XVG3
AT1G72500	A0A1P8ANW8; A0A1P8ANU9; F4IDC8
AT1G72510	A0A178WHP5; Q9C9E9
AT1G09313	-
AT1G72520	Q9CAG9; Q9FNX8
AT1G72530	A0A178WAF0; F4IDD2; Q9CAH0
AT1G09317	-
AT1G72540	Q9CAH1
AT1G72545	-
AT1G72550	A0A178WJL7; F4IDD6; Q9SGE9
AT1G72560	Q7XAC4; Q9CAH2; Q7PC79
AT1G09323	-
AT1G72570	Q6J335; Q1PFE1; A0MEG0; Q9CAH3
AT1G72580	A0A178WIF3; Q9CAH4
AT1G72590	Q9CAH5
AT1G72600	Q9CAH6
AT1G09327	-
AT1G72610	P94040; A0A178WCD6; Q549N9; Q96265; O04751
AT1G72620	F4IDE6
AT1G72630	A0A178WCV4; Q94BS8; Q9CAH8
AT1G72640	A0A178WM69; A0A1P8AVW7; F4IDE8; A0A1P8AW09; Q6NMC1
AT1G72645	A0A178W8S8; Q8RXY2
AT1G72650	Q94AX9; F4IDF1
AT1G72660	Q9CAI1; C0Z340; Q56Z00; A0A1P8AMQ3
AT1G72670	Q9CAI2
AT1G72680	Q9CAI3; A0A178WLT3
AT1G72690	Q9CAI4; A0A178W3A7
AT1G09337	-
AT1G72700	A0A178WGF7; Q9SGG3
AT1G72710	Q9CAI5; A0A178WMS6
AT1G72720	Q9CAI6; A0A178W6R6
AT1G72730	A0A178WL55; Q9CAI7; Q9ZS01
AT1G72740	A0A178WDM5; F4IEY3; Q9CAI8; F4IEY4; Q94JU9
AT1G72750	A0A178W370; Q38820
AT1G72755	-
AT1G72760	Q9CAI9; A0A1P8ASX0; A0A1P8AST2
AT1G72770	Q9CAJ0; O81709; Q0WLM7; C0Z251
AT1G72790	Q9CAJ1
AT1G72800	Q9CAJ2; A0A178W7C6
AT1G72810	Q9SSP5; A0A178WMN0
AT1G72820	Q9SSP4; A0A178WGG1
AT1G72830	F4IEZ6; Q93ZH2; F4IEZ4; A0A178W6C6; O23632; Q9SSP3
AT1G72840	F4IEZ7; A0A1P8ASP5; Q0WQ93
AT1G72850	Q9SSP1
AT1G72852	-
AT1G72855	-
AT1G72860	A0A1P8AT27; A0A178WHF0; A0A1P8AT23; F4IF00; A0A178WJ87
AT1G72870	Q9SSN9
AT1G72880	Q84MD7; A0A178WAH4
AT1G72890	F4IF04; F4IF05
AT1G72900	Q9SSN6
AT1G72910	Q9SSN5
AT1G09343	-
AT1G72920	Q9SSN4
AT1G72930	Q9SSN3; A8MRJ7; Q9SE46; B9DHJ4
AT1G09353	-
AT1G72940	Q9SSN2
AT1G09357	-
AT1G72950	Q9SSN1
AT1G72960	Q9SSN0; A0A1P8ASL0
AT1G72970	Q9S746; Q9SXZ3; F4IF15; A0A178WG21
AT1G72980	Q9SSM9; A0A178W3W0; B7XG85
AT1G72990	Q93Z24; A0A1P8AQM6; Q2V4C9; Q9SSM8
AT1G73000	Q9SSM7; Q5XVG2; A0A178W862
AT1G73010	Q8LDK9; Q9SSM6; Q67YC0
AT1G73020	Q9SSM5; Q5XVG1; A0MFS9; A0A178WEA6
AT1G73030	Q9SSM4; A0A178W5G8; Q8LFG3
AT1G09363	-
AT1G73040	A0A178WMS9; Q9SSM3
AT1G73050	Q9SSM2; Q1PFE0
AT1G73060	Q9SSM1; Q8LFG2; A0A178W661; Q8H0W0
AT1G73065	-
AT1G73066	Q9SSM0
AT1G73080	Q9SSL9; Q8L740; Q8GZ71
AT1G73090	Q8LF02; F4IF29
AT1G73100	Q9SSL7; Q9C5P4
AT1G09367	-
AT1G73110	A0A1P8ATD8; Q9AST9
AT1G73120	Q9CAS9; A0A178W3C2
AT1G73130	Q9S781; A0A1P8AQL4
AT1G73140	Q1PFD9; Q9CAT0; A0A178WIY7; A0MEG1; Q9SSL4
AT1G73150	Q0WSA6; A0A178W401; Q9S7T1; A0A1P8AMI1
AT1G73160	A0A178WDR3; Q9CAT1
AT1G73165	Q3ECD6; A0A178WM37
AT1G73170	F4HQ47; A8MRU5; A0A1P8AWK9; A0A1P8AWP1
AT1G73177	Q8L981; A0A178WGX5; A0A1P8ARS8
AT1G73180	Q9CAT3; B3H5L3
AT1G73190	A0A178WAX2; P26587
AT1G73200	Q9CAT4
AT1G73210	F4HQ54; A0A178W5L9; Q9CAT5; A0A178W4P9
AT1G09373	-
AT1G73220	Q8LAB6; A0A178WJR7; Q9CAT6
AT1G73230	Q9CAT7; A0A178WMJ1; Q8LFH4; B9DI58
AT1G73240	A0A178WH71; Q8LAF4
AT1G73250	O49213; Q0WQ67
AT1G73260	Q8H190; Q9CAT9; Q93Y29; Q8RXD5
AT1G73270	Q9CAU0
AT1G73280	A0A1P8AWR4; A0A1P8AWR8; A0A1P8AWM7; Q9CAU1
AT1G73290	F4HQ63; A0A1P8AW04; Q9CAU2; A0A1P8AW61
AT1G73300	Q9CAU3
AT1G73310	A0A1P8AVA6; A0A1P8AVE3; Q9CAU4
AT1G73320	Q5Q0D6; A0A178WH13; Q5Q0D4
AT1G73325	A0A178WBD0; Q9FX28
AT1G73330	Q39091
AT1G73340	A0A178WHC7; F4HQ70
AT1G73350	A0A1P8APD7; Q84WW0; A0A1P8APF3; A8MS11; B3H5Y5; A0A1P8APF6
AT1G09377	-
AT1G73360	Q9FX31
AT1G73370	F4HQ76; Q9FX32; W8Q3K7
AT1G73380	Q9FX33
AT1G73390	Q9FX34; B3H6Z1
AT1G73400	Q9FX35
AT1G73410	A0A178WGG5; A0A1P8AW77; A0A178WGB1; Q9FX36
AT1G73430	F4HQ84
AT1G73440	Q9FDZ8
AT1G09383	-
AT1G73450	F4HQ87
AT1G73460	F4HQ88
AT1G73470	A0A178WCE9; A0A178WC65; B2GVN0; F4HQ89; Q8LAD8
AT1G73480	Q94AM5
AT1G73490	Q9FX42; F4HQ94
AT1G73500	Q9FX43; A0A178W135
AT1G09387	-
AT1G73510	Q9FX44
AT1G73530	Q9FX45
AT1G73540	Q9FX46; A0A178W6P3; Q8VY81
AT1G73550	B3H587; Q9FX47
AT1G73560	Q1PFD8
AT1G73570	Q9C6B6; Q9FX49
AT1G73580	A0A178WEL5; Q9C6B7
AT1G09393	-
AT1G09397	-
AT1G73590	A0A178WFG7; Q9ZSY6; Q9C6B8; Q9ZSY5
AT1G73600	Q9C9V1; Q0WUL3; Q9C6B9
AT1G73603	A0A178WBZ3; A7REG2; A0MJW0; P82778
AT1G73607	P82779; A0MJW1; A7REG4; A0A178W3B2
AT1G73610	Q9C9V0
AT1G73620	Q9C9U9
AT1G73630	Q9C9U8; Q8L8W9
AT1G73640	A0A178W207; Q9C9U7
AT1G73650	B3H655; Q940M8; B9DFE9; A8MQG9; F4HRY1
AT1G73655	Q9C9U6; A0A178WAL2; Q8LB65
AT1G73660	Q9C9U5; Q8L625; Q0WM41
AT1G73670	Q94EY5; Q9C9U4
AT1G73680	A0A1P8AUY0; Q9C9U3; A0A1P8AV22; F4HRY9
AT1G73690	A0A178W7E4; Q9C9U2
AT1G73700	A0A178W406; Q9C9U1; Q8LF49
AT1G09407	-
AT1G73710	Q9C9U0
AT1G73720	Q9C9T9; A0A178WHG8; Q8W117
AT1G73730	A0A1P8AT39; O23116; A0A178VZZ3
AT1G73740	Q9C9T8
AT1G73750	A0A1P8AWG3; Q8W568
AT1G73760	A0A1P8AV69; Q9C9T6
AT1G73770	Q9C9T5; A0A178WDB0; A0A1P8ANI4
AT1G73780	A0A178WCQ2; Q9C9T4
AT1G73790	Q9C9T3; A0A178WM34
AT1G73805	A0A178WFY4; Q9C9T2; Q93Z50
AT1G73810	Q9C9T1
AT1G73820	A0A1P8AMK1; Q9C9T0
AT1G73830	A0A178W6D3; Q8GWK7; Q9C9S9; F4HS06; A0A178W5K6
AT1G09417	-
AT1G73840	A0A178W8Y4; Q8VYM7; A0A1P8AMZ0
AT1G73850	A0A178WM70; F4HS08
AT1G73860	A0A1P8AN92; Q0WN69; Q9C9S6; Q9C9A8
AT1G73870	Q5XF76; Q9C9A9
AT1G73875	A0A1P8ATB9; Q6NNI4; A0A1P8ATB7; Q0WKY2
AT1G73880	Q9C9B0; Q8RWP1
AT1G73885	F4HS13
AT1G73890	Q9C9B1
AT1G73910	Q8LKR1; Q9C9B2; A0A1P8AVW4
AT1G73920	F4HS17; Q949N8
AT1G73930	Q9C9B4
AT1G73940	Q9C9B5; A0A178W7B5
AT1G73950	F4HS21; A0A1P8AV52
AT1G73960	Q8LPF0; Q9C9B7; Q6SJQ9; F4HTS1; A0A1P8API4
AT1G73965	A0A178WCL2; Q6NMF0
AT1G73970	A0A1P8AUW6; A0A1P8AUZ1; A0A1P8AUW4; F4HTS4
AT1G73980	Q9C9B9
AT1G73990	Q8H187; Q9C9C0; Q9SEL8; A0A1P8AUG2; A0A178WBG0
AT1G74000	Q0WLG6; Q9C9C1; P92976
AT1G74010	Q9C9C2; A0A178WFN8
AT1G74020	Q9C9C3; P94111
AT1G74030	Q9C9C4
AT1G74035	-
AT1G74040	A0A1P8AUZ8; A0A1P8AV04; Q8GWX8; Q9C550
AT1G74045	Q58G35; F4HTT2; A0A178WLT6
AT1G74050	A0A178W8L4; Q9C9C5
AT1G74060	Q9C9C6
AT1G74055	Q56ZA1
AT1G74070	Q8W4C6; A0A1P8APN5; Q9C9C7; F4HTT6
AT1G74080	Q9C9C8
AT1G74088	Q1G3X2; F4HTT8; A0A178WEB0
AT1G74090	Q8LA18; T1P4U2; Q9C9C9
AT1G74100	Q9C9D0; M1EU36; Q8LB09
AT1G74110	Q9C9D1
AT1G74120	Q9C9D2; Q0WSD2; Q9C6A1
AT1G74130	Q84WG3; F4HTU5; Q9C6A2
AT1G74140	Q1PFD5; Q1PFD6; F4HTU9; Q5XVF7; B6EUB0; B6EUB8; B3H707; Q5XVF8; F4HTV0; Q9C6A3
AT1G74150	A0A1P8ATP8; A0A1P8ATP2; A0A1P8ATP7; A0A1P8ATR4; F4HTV1
AT1G74160	A0A1P8ANX7; Q0WNQ5
AT1G74170	Q9C6A6; F4HTV3
AT1G74180	A0A1P8AWN1; F4HTV4
AT1G09423	-
AT1G74190	Q9C6A8
AT1G74200	F4HTV6
AT1G74205	-
AT1G09427	-
AT1G74210	Q9C907; A0A178W3R5
AT1G74220	A0A178W712; Q9C908
AT1G74230	Q9C909
AT1G74240	A0A1P8AS08; Q8GYH1
AT1G74250	Q9C911
AT1G74260	Q9M8D3; F4HTW2; A9Y5J1
AT1G74270	Q9C912
AT1G74280	Q9C913
AT1G74290	Q9C914
AT1G74300	Q9C915; A0A1P8ATY9
AT1G09433	-
AT1G74310	A0A1P8AN20; P42730; A0A178W7U9; Q8W4F2; Q9LE57
AT1G74320	Q9C916; Q8L518
AT1G74330	F4HTW9; A0A1P8AP48; F4HTX0
AT1G74340	Q9CA79
AT1G74350	Q9CA78
AT1G74360	Q9CA77; C0LGJ1; A0A178W4L5
AT1G09437	-
AT1G74370	A0A178WJT2; Q9CA76
AT1G09443	-
AT1G74380	W8PVU0; Q9CA75
AT1G74385	-
AT1G74390	A0A178W1Z3; A0A1P8APH8; F4HVM5; A0A1P8API6; Q9CA74
AT1G74400	Q9CA73
AT1G74410	Q94A26; Q8LBA0; Q4TU31; Q9CA72; A0A178W9B1
AT1G09447	-
AT1G09453	-
AT1G74420	W8Q3K1; Q9CA71; A0A1P8ANB1; F4HVN0; Q67XV8; A0A1P8AN91
AT1G74430	A0A1P8APC6; Q9SG63
AT1G09457	-
AT1G74440	Q9CA70
AT1G09463	-
AT1G74450	Q9CA69
AT1G74458	A0A178W2P2; Q56YK7
AT1G74460	Q0WS24; Q84WK6; Q9CA68; A0A178WN83
AT1G74470	Q56YY5; Q8H170; B9DHM2; Q9CA67; O49594; A0A178W817
AT1G74480	A0A178W9H3; Q9CA66
AT1G74490	Q7Y224
AT1G74500	A0A178WAL8; Q9CA64
AT1G74510	Q9CA63; A0A178WJ20
AT1G74520	A0A178W5T6; Q9S7V4
AT1G74530	Q5M758; F4HVP6; A0A1P8AUT1; Q0WPJ3
AT1G09477	-
AT1G74545	-
AT1G74540	A0A178WNC9; Q9CA61; Q8L9A4; A0MEG3
AT1G74550	Q9CA60; A0A178WF67
AT1G09487	-
AT1G74560	F4HVQ1; A0A178WEU8; A8MSD9; Q9CA59
AT1G74580	Q9CA58
AT1G74590	A0A178W9T9; Q9CA57
AT1G74600	A0A178W410; Q9CA56
AT1G74620	Q9CA55
AT1G74630	Q570H1; A0A1P8APP2; A0A178WMX2; Q9CA54
AT1G74640	Q8L475
AT1G74650	A0A178W7D2; A0A1P8AMH1; Q9CA52; A0A1P8AMJ1
AT1G09493	-
AT1G74660	Q8LEN6; A0A178WD69; A0A1P8AWK2; Q9CA51
AT1G09497	-
AT1G74670	Q9CA50; Q6NMQ7
AT1G74675	-
AT1G09503	-
AT1G09507	-
AT1G74680	Q93ZD5
AT1G74690	Q9SSF5; Q8L4D8; Q9CA49
AT1G74700	Q8LGU7; Q9SSF6; Q1WW71; Q9CA48
AT1G74710	O81522; Q9S7H8; Q9ASQ4; A0A178WE28; Q3ECD2
AT1G74720	Q9CA47; A0A178W8C8; B8XCH5; Q0WLK0; Q9SSF7
AT1G74730	A0A178WG39; Q94F10
AT1G09513	-
AT1G74740	Q9SBZ3; Q9SSF8; A0A178W4G7
AT1G74750	Q9SSF9
AT1G74770	F4HVS0; Q0WVS5; A0A1P8AWE8; Q9SSG0; Q9SSG1
AT1G74780	Q9SSG2
AT1G74790	Q9SSG3
AT1G74800	Q9SSG4; Q8RX55; W8QP19
AT1G74810	A0A178WFC4; Q9SSG5; Q9C9P1; A0A1P8ATS9; A0A1P8ATS7; A0A1P8ATR0
AT1G74820	Q1PFD3; Q9S772
AT1G74830	Q8GXL4; Q9S7T6; F4HVS6
AT1G74840	C0Z2P1; Q9S7N6
AT1G74850	A0A178WNJ2; Q9S7Q2
AT1G74860	Q9SSG6
AT1G74870	Q9S7I7
AT1G74875	F4HXC5
AT1G74880	Q9S829
AT1G74890	Q7G8V2
AT1G74900	A4FVT1; Q9S7R4
AT1G09517	-
AT1G74910	F4HXD1; Q9C9P3
AT1G74920	Q9S795; A0A178W4Y2; Q56ZQ8; F4HXD2
AT1G74930	Q9S7L5; A0A178W260
AT1G74929	B3H4W3
AT1G74940	Q8GRN0
AT1G74950	A0A178WA69; Q8LBU1; Q9S7M2; A0A1P8ATF8
AT1G74960	Q9C9P4; Q945N5; Q8RXF5; Q9SSG8
AT1G74970	Q681W6; A0A178WH00; Q9XJ27
AT1G74990	A0A178WMB2; Q9S7D6
AT1G75000	A0A178WJS6; Q9S804
AT1G75010	Q6F6B5; Q9SSG9; Q0WT28; Q9C9P7
AT1G75020	Q9SSH0; Q8L4Y2; Q9C9P8
AT1G75030	A0A178W858; Q9C9P9
AT1G75040	P28493; A0A178WNL8
AT1G75050	A0A178WDH5; Q1PFD2
AT1G75060	A8MR31; A0A178W4P3; A0A178W4M5; A0A1P8ASF0; Q9C9Q1
AT1G75080	Q9C9Q2; Q8S307; Q8VZD2; A0A178WJU2
AT1G09523	-
AT1G75090	Q94CA9
AT1G09527	-
AT1G75100	A0A178WHU1; Q9C9Q4
AT1G75110	Q9C9Q5; Q8LCK7
AT1G75120	Q84R12; A0A178WKM7; Q9C9Q6
AT1G75125	-
AT1G75130	A0A178WDX2; Q9FRK4
AT1G75140	A0A178WN72; Q9FRK5; Q8GY41; Q9C9Q7
AT1G75150	F4HXG0; A0A1P8ANP2; A0A1P8ANP5
AT1G75160	F4HXG1
AT1G75170	F4HXG4; Q9FRK8
AT1G09537	-
AT1G75180	Q9FRK9; A0A1P8ASB8; Q8H0Z2
AT1G09543	-
AT1G75190	F4HXG9; Q9FRL0
AT1G75200	A0A178W4L9; Q9FRL1; Q8RXN5
AT1G75210	Q8RWN4; A0A1P8AMS8
AT1G75220	Q9FRL3
AT1G75230	F4HXH4; Q9C5J2
AT1G75240	Q9FRL5; A0A178WFZ4
AT1G75250	A0A178W926; Q9FRL6; Q1A173
AT1G75260	Q0WVV5; A0A178W2L2
AT1G75270	Q9FRL8; Q8LB28
AT1G75280	A0A178W6W0; P52577; Q9FRL9
AT1G75290	A0A1P8ART1; B3LFB7
AT1G75295	-
AT1G75300	Q9FRM1
AT1G75310	A0A1P8AND3; O81812; Q9FWS1; F4HZ18; Q9FRM2
AT1G75330	A0A178W4A4; O50039; Q9FWS2
AT1G75335	Q1G3X0
AT1G75340	F4HZ22; Q9FWS3; Q94C30; A0A1P8AU48
AT1G75350	A0A178WG49; Q9FWS4
AT1G75360	Q5XVF5
AT1G75370	F4HZ25; Q8GXC6; Q9FWS5
AT1G75380	Q9FWS6; A0A178WDF6
AT1G09547	-
AT1G75390	A0A178W597; Q9FWS7; A8MRG6; C0Z2L5
AT1G75400	A0A178WAT0; Q8L7K7
AT1G75410	Q0WW07; Q8W4I2; A0A1P8AMF2; Q9FWS9
AT1G75420	Q7Y217; A0A178WJA8; A0A1P8AMC6; A0A1P8AMF3
AT1G75430	Q1PFD1; Q9FWT1; C0SV32; A0A1P8AMV1
AT1G75440	Q9FWT2; O48953; A0A178WCH3
AT1G09553	-
AT1G75450	F4HZ40; Q9FWT3; Q9FUJ0; Q67YU0
AT1G09557	-
AT1G75460	Q9FWT4; A0A178W5M9
AT1G75470	F4HZ42; Q9LQZ0
AT1G75490	A0A178W9T8; Q9LQZ2; Q680G5
AT1G75500	Q0WMC8; A0A178WFC0; Q94AP3; Q9LQZ3
AT1G09563	-
AT1G09567	-
AT1G75510	A0A178W1N6; Q9LQZ4
AT1G75520	A0A178W9B5; Q9LQZ5
AT1G75530	F4HZ48
AT1G75540	C0SV33; Q9LQZ7
AT1G75550	A0A178WDM1; A0A1P8AQQ4; Q9LQZ8
AT1G75560	A0A178WDB9; Q8GXC5
AT1G75580	A0A178W4L3; Q9LR00
AT1G75590	F4HZ54
AT1G75600	Q9LR02; A0A178WMI0
AT1G75620	Q9LR03
AT1G75630	Q96298; Q39037; P59229; Q39039; F4HZ57; Q42424; Q944R9; A0A178W8D6; Q39038
AT1G75640	Q9LR04
AT1G75660	Q8L7A3; Q9LR05; Q9FQ03
AT1G75670	A0A1P8AN02; Q8H1F8; A0A178W5P2
AT1G75680	Q8LCP6; Q9LR07
AT1G09573	-
AT1G75690	Q9LR08; Q8GSJ6; A0A178W9N8
AT1G75700	A0A1P8APN0; Q9LR09; A0A178WKP8
AT1G75710	A0A178WFR3; Q9LR10
AT1G75717	Q9LR11; A0A178W0I6
AT1G75720	Q9LR12; F4I0N4; A0A1P8AP95; A0A178WM76; F4I0N3
AT1G75730	A4FVS5
AT1G75750	Q9LR14; A0A178W4S5; P46689; Q8W114; F4I0N7
AT1G75760	A0A1P8ANJ6; A0A178WBU7; Q84TL5; A0A1P8ANJ0
AT1G75770	Q94A92; A0A178W8G3
AT1G75780	Q9SYQ7; P12411; Q8GZ16; A0A178WQG2
AT1G75785	-
AT1G75790	A0A178WEI7; Q1PFD0
AT1G75800	Q9LQT4; A0A178W9U8
AT1G75810	Q9LQT3; A0A178WKW6
AT1G75820	O04380; Q9LQT2; C0LGJ2; Q56Y00; A0A178W3N9; Q9SYQ8
AT1G09577	-
AT1G09583	-
AT1G75830	Q42179; A0A178WNK7; P30224
AT1G75840	Q9LQT0; A0A178W747; Q9ZRD5; O48545; Q38937
AT1G75850	A0A178WDK6; Q9LQS9; F4I0P8; Q0WRZ0; A0A1P8AQF4
AT1G75860	A0A1P8AVE0; F4I0P9
AT1G75870	Q9LQS7; A0A178W4K3
AT1G09587	-
AT1G75880	Q84K55; Q9LQS6; A0A178W4S4; Q94CH8
AT1G75890	A0MEG6; Q1PFC9; A0A178WNY9; Q9LQS6; A0A1P8ASQ1; Q94CH7
AT1G75891	-
AT1G09593	-
AT1G09597	-
AT1G75900	Q9LQS5; A0A178W159; Q94CH6; Q8GZ94
AT1G75910	Q0WUV7; Q93X95; A0A178WJM0; Q9LQS5
AT1G09603	-
AT1G75920	Q9LQS4; A8MR69; Q94CH5; F4I0R0; B3H6N8; Q1PFC8
AT1G75930	Q9LQS3; Q93X94; A0A178WL29
AT1G75940	Q84WV2; Q8VXW3; Q9LQS3; O49117
AT1G75945	-
AT1G75950	Q39255; P92992; A0A178WD95
AT1G75960	Q8LRT4; Q9LQS1
AT1G75980	A0A178W5D9; A0JQ11; A0A1P8AVM1
AT1G75990	Q5XF45; Q9LQR8
AT1G76010	Q93VA8
AT1G76020	A0A1P8AMK3; A0A178W2Q5; A0JQ12; A0A1P8AMI0
AT1G76030	Q42205; Q8L584; A0A178WGH9; P11574; Q9LQR5
AT1G76040	Q9LQR4; A0A1P8AP07; F4I0S0; Q8RWL2
AT1G76050	Q8GY94; Q3ECD0; Q9LQR4
AT1G76060	Q63Z96
AT1G76065	Q9LQR2; A0A178WBE9
AT1G76070	Q8LAC9; Q9LQR1; Q9SGS5; A0A178WBT9
AT1G76080	Q8LDJ9; Q95GH8; A0A178WHK1; Q9SGS4
AT1G76090	A0A178WGT2; O23655; Q94JS4
AT1G76100	P11490; Q9SGS3; A0A1P8APR2; P93656; Q52K91
AT1G76110	Q9SGS2
AT1G76120	Q9SGS1; Q3ECC9
AT1G76130	A0A178W2W8; Q8LFG1; Q9SGS0
AT1G09607	-
AT1G76140	F4I2A0; F4I2A1
AT1G76150	Q8VYI3; Q9SGR7
AT1G76160	Q9SGR6; A0A178WJJ9
AT1G76170	A0A1P8ASM8; A0A1P8ASH8; A0A1P8ASI0; F4I2A4; A0A1P8ASH3
AT1G76180	A0A178WC69; Q0WV63; P42763; Q9C5R5
AT1G76185	Q8LCY3; A0A178WGC3
AT1G76190	Q9SGR4
AT1G76200	Q8LDK3; A0A178WMC2
AT1G76210	A0A178WD94; Q9SGR3
AT1G76220	A0A178W587; Q9SGR2
AT1G76230	Q9SGR1
AT1G09613	-
AT1G76240	Q501A3
AT1G76250	Q8GX25
AT1G76260	Q9SGQ8; Q9SFW2; Q67YQ8; Q6NPN9
AT1G76270	Q949U4
AT1G76280	A0A1P8AVB2; Q9SGQ6; F4I2B7; A0A1P8AVF2; Q9SFW4; B6EUA8; A0A178W8A4
AT1G76290	Q9SFW5; Q9SGQ5
AT1G76300	Q9S7E6; A0A178W507
AT1G76310	A0A1P8AWG4; Q9SGQ4; A0A1P8AWI4; Q9SFW6; A0A1P8AWH0
AT1G76320	Q9SGQ3; Q9SFW7; F4I2C4; A0A1P8AP14; Q6NQJ7; Q2V4C5; A0A178WLY2; A0A178WNR6
AT1G76340	A0A178WDB8; Q9S845
AT1G76350	Q9SGQ2; Q9SFW8; A0A178W0G0
AT1G09617	-
AT1G76360	A4FVS9; A0A178W3E3
AT1G09623	-
AT1G76370	Q9SFX0; A0A178WI22; Q84WC3
AT1G76380	Q8GZ14; A4FVS4; F4I2D0
AT1G09627	-
AT1G76390	Q9SFX2; A0A178WC80
AT1G76400	A0A178WGG6; A0A1P8AUN1; Q9SFX3; Q8H795
AT1G76405	F4I2D6; Q9FPG2; A0A178W9W0
AT1G76410	A0A178WF21; Q8LC69; Q9S783
AT1G76420	A0A178W1E7; Q9S851
AT1G76430	A0A178WNB1; Q9S735; Q0WRM8
AT1G76440	A0A178W5Q2; Q9S842
AT1G76450	Q8LF82; Q9S720; Q0WU81; A0A178WJJ8
AT1G76460	A0A178W847; F4I2E4
AT1G76465	-
AT1G76470	A0A178WB81; F4I2E5
AT1G76480	F4I2E6; F4I2E7
AT1G76490	P14891; Q6RW12
AT1G76500	Q9C9K7; A0A178WLH3
AT1G76510	Q9C9K6; F4I2F0; A0A178W194; Q0WNR6
AT1G76520	C0Z2W2; A0A178W0X0; Q9C9K5
AT1G76530	A0A1P8APP3; Q9C9K4
AT1G76540	Q8LF80; Q9C527; Q94EX2; A0A178WJF2
AT1G76550	Q0WNI9; Q9C9K3; Q56WC4
AT1G76560	Q8LEL6; Q9C9K2; A0A178WDK7
AT1G76570	Q9C9K1
AT1G76580	Q9C9K0; Q9SMW9; A0A178WED4; Q700C2; A0A1P8AUS5; A0A1P8AUS9; Q8W4C0
AT1G09633	-
AT1G76590	Q2HIW3; A0A178WMM6
